time_ms,COMSOL_current_A,Elmer_current_A
20.020001846257543,-9.746736250662682e-14,-8.043509373579441e-09
20.020001887277548,-9.746736255956637e-14,-8.043510665526798e-09
20.020001928297557,-9.746736271838505e-14,-8.04351195747427e-09
20.020001969317562,-9.746736279779439e-14,-8.043513249421627e-09
20.020002051357572,-9.746736287720373e-14,-8.043515833316346e-09
20.02000212519358,-9.746736298308285e-14,-8.04351815882159e-09
20.020002199029594,-9.746736306249219e-14,-8.043520484326949e-09
20.020002272865604,-9.746736332718998e-14,-8.043522809832194e-09
20.020002346701613,-9.746736345953888e-14,-8.04352513533744e-09
20.020002420537622,-9.746736359188778e-14,-8.043527460842685e-09
20.020002494373635,-9.746736380364602e-14,-8.043529786348042e-09
20.020002568209645,-9.746736393599491e-14,-8.043532111853289e-09
20.020002606564812,-9.746736400474544e-14,-8.04353331987015e-09
20.020002642045654,-9.746736406834381e-14,-8.043534957539815e-09
20.020002715881663,-9.746736414775315e-14,-8.043538365547852e-09
20.020002789717676,-9.746736428010205e-14,-8.043541773556054e-09
20.020002863553685,-9.746736449186029e-14,-8.043545181564091e-09
20.020002937389695,-9.746736465067896e-14,-8.043548589572129e-09
20.020003011225704,-9.746736475655808e-14,-8.043551997580166e-09
20.020003085061717,-9.746736488890698e-14,-8.043555405588367e-09
20.020003158897726,-9.746736502125588e-14,-8.043558813596405e-09
20.020003306569745,-9.746736539183279e-14,-8.04356562961248e-09
20.020003439474564,-9.74673657624097e-14,-8.043571764027078e-09
20.020003572379384,-9.74673660271075e-14,-8.043577898441676e-09
20.020003705284203,-9.746736626533552e-14,-8.043584032856275e-09
20.020003736839737,-9.746736635960614e-14,-8.043585489347655e-09
20.020003838189023,-9.746736666238221e-14,-8.043592597397081e-09
20.020003971093843,-9.746736695354979e-14,-8.043601918568065e-09
20.020004103998662,-9.746736735059648e-14,-8.04361123973905e-09
20.02000423690348,-9.74673675888245e-14,-8.043620560909784e-09
20.020004369808298,-9.746736793293163e-14,-8.043629882080767e-09
20.020004502713117,-9.746736822409921e-14,-8.043639203251751e-09
20.020004635617937,-9.746736851526678e-14,-8.043648524422735e-09
20.020004768522757,-9.746736880643436e-14,-8.043657845593718e-09
20.020004768829885,-9.746736880704605e-14,-8.043657867133928e-09
20.020004901427576,-9.746736907113216e-14,-8.043670898779753e-09
20.020005034332396,-9.746736917701127e-14,-8.043683960610044e-09
20.020005167237212,-9.746736938876951e-14,-8.043697022439984e-09
20.02000530014203,-9.746736967993709e-14,-8.043710084270275e-09
20.02000556595167,-9.746737020933268e-14,-8.043736207930857e-09
20.02000580082004,-9.746737083302855e-14,-8.043759290696402e-09
20.020005805180343,-9.746737084460739e-14,-8.043759869346578e-09
20.020006044409016,-9.746737132106342e-14,-8.043791617079282e-09
20.020006283637684,-9.746737192986835e-14,-8.043823364811514e-09
20.020006522866357,-9.746737237985461e-14,-8.043855112544218e-09
20.02000676209503,-9.746737288278042e-14,-8.043886860276922e-09
20.02000689178106,-9.746737316976614e-14,-8.043904070744812e-09
20.0200070013237,-9.746737341217601e-14,-8.043923399896132e-09
20.02000724055237,-9.746737378275293e-14,-8.043965612563247e-09
20.020007479781043,-9.746737431214852e-14,-8.044007825230989e-09
20.020007719009715,-9.746737481507433e-14,-8.04405003789873e-09
20.020007953256645,-9.74673754112014e-14,-8.044091371521914e-09
20.020007958238388,-9.746737542387926e-14,-8.044092495600976e-09
20.020008197467057,-9.746737579445618e-14,-8.044146475089029e-09
20.02000843669573,-9.746737619150287e-14,-8.044200454577883e-09
20.0200086759244,-9.746737669442868e-14,-8.044254434066736e-09
20.020008915153074,-9.746737722382427e-14,-8.044308413555591e-09
20.02000901473224,-9.746737745520377e-14,-8.044330882569627e-09
20.020009154381746,-9.746737777968965e-14,-8.044370106408626e-09
20.020009393610415,-9.746737828261546e-14,-8.044437299390035e-09
20.020009632839088,-9.746737881201105e-14,-8.044504492372441e-09
20.020010111296436,-9.746737989727201e-14,-8.044638878338252e-09
20.020010341576725,-9.746738039271011e-14,-8.044703557957356e-09
20.020010541908047,-9.74673808237143e-14,-8.044775894165536e-09
20.02001097251966,-9.746738180309614e-14,-8.044931380642369e-09
20.02001140313127,-9.746738265012909e-14,-8.04508686711792e-09
20.02001165871884,-9.746738315288166e-14,-8.045179155410486e-09
20.020011833742885,-9.746738349716204e-14,-8.045258062252982e-09
20.020012264354495,-9.746738407949719e-14,-8.045452196736101e-09
20.02001269496611,-9.746738495299992e-14,-8.045646331220822e-09
20.020012975860954,-9.74673854882664e-14,-8.045772968251182e-09
20.02001312557772,-9.746738577356309e-14,-8.045855411849354e-09
20.020013556189333,-9.746738654118669e-14,-8.046092534063535e-09
20.020013986800947,-9.74673874411592e-14,-8.046329656277718e-09
20.02001429300307,-9.746738796818372e-14,-8.046498270691902e-09
20.020014417412558,-9.746738818231303e-14,-8.046580425962085e-09
20.02001484802417,-9.746738908228554e-14,-8.046864785409172e-09
20.020015278635782,-9.746738987637892e-14,-8.047149144853914e-09
20.020015610145183,-9.746739069149682e-14,-8.047368060988547e-09
20.020015709247396,-9.746739093517011e-14,-8.047445348330711e-09
20.020016139859006,-9.746739188808217e-14,-8.04778117157802e-09
20.02001657047062,-9.746739268217556e-14,-8.048116994828097e-09
20.020016927287298,-9.7467393515652e-14,-8.048395267249136e-09
20.02001700108223,-9.746739368802719e-14,-8.048462352355618e-09
20.020017431693844,-9.746739453506013e-14,-8.048853810479691e-09
20.02001786230546,-9.74673953556233e-14,-8.049245268603765e-09
20.020018244429412,-9.746739631868188e-14,-8.049592647822734e-09
20.02001829291707,-9.746739644088426e-14,-8.049643451247918e-09
20.020018723528683,-9.746739734085677e-14,-8.050094628856104e-09
20.020019154140293,-9.746739810848038e-14,-8.050545806460566e-09
20.020019561571527,-9.746739911027547e-14,-8.050972696594392e-09
20.020019584751907,-9.746739916727156e-14,-8.051000320014714e-09
20.020020015363517,-9.746740006724407e-14,-8.051513468002992e-09
