time_ms,COMSOL_L_A,COMSOL_R_A,Elmer_L_A,Elmer_R_A
25.19600100000161,1.0327533702132052e-08,3.9861367259505156e-08,-4.435985026487901e-07,-4.418433536668544e-07
25.20100100000161,1.0319523370860208e-08,3.985335748454394e-08,-4.435717116510116e-07,-4.418421632530387e-07
25.206001000001613,1.0311513039588365e-08,3.9845347709582726e-08,-4.435511717542696e-07,-4.41840771319541e-07
25.211001000001612,1.0303502708316528e-08,3.9837337934621514e-08,-4.4352457037079296e-07,-4.418396402773681e-07
25.216001000001615,1.0295492377044685e-08,3.9829328159660295e-08,-4.434951633781371e-07,-4.4183879332329655e-07
25.221001000001618,1.0287482045772841e-08,3.9821318384699076e-08,-4.4347048103551443e-07,-4.418353454802384e-07
25.226001000001617,1.0279471714501003e-08,3.9813308609737864e-08,-4.434388103621064e-07,-4.418310824558702e-07
25.23100100000162,1.027146138322916e-08,3.980529883477665e-08,-4.4342928502463775e-07,-4.418217949897832e-07
25.23600100000162,1.0263451051957316e-08,3.9797289059815434e-08,-4.434141099093501e-07,-4.4180381420836864e-07
25.241001000001624,1.0255440720685472e-08,3.9789279284854215e-08,-4.433968868399439e-07,-4.4180400163260926e-07
25.246001000001623,1.0247430389413636e-08,3.9781269509893e-08,-4.4337924073338986e-07,-4.41794083264345e-07
25.251001000001626,1.0239420058141792e-08,3.977325973493179e-08,-4.4336397346417017e-07,-4.417768546874357e-07
25.25600100000163,1.0231409726869949e-08,3.976524995997057e-08,-4.4333647462424085e-07,-4.41760864465919e-07
25.261001000001627,1.0223399395598112e-08,3.975724018500936e-08,-4.433112241204046e-07,-4.4173617258676245e-07
25.26600100000163,1.0215389064326269e-08,3.974923041004814e-08,-4.432923514768037e-07,-4.417289709148322e-07
25.271001000001633,1.0207378733054425e-08,3.974122063508692e-08,-4.4325795047788137e-07,-4.4171625358110857e-07
25.276001000001635,1.0199368401782582e-08,3.973321086012571e-08,-4.4323113945895446e-07,-4.416949400197056e-07
25.281001000001634,1.0191358070510743e-08,3.97252010851645e-08,-4.431907908064212e-07,-4.4168163457533995e-07
25.286001000001637,1.01833477392389e-08,3.971719131020328e-08,-4.431592397355019e-07,-4.41669547875562e-07
25.29100100000164,1.0175337407967058e-08,3.970918153524206e-08,-4.4313124043950493e-07,-4.4166841682241153e-07
25.296001000001638,1.016732707669522e-08,3.9701171760280856e-08,-4.4311214050069773e-07,-4.4166123108074513e-07
25.30100100000164,1.0159316745423376e-08,3.969316198531964e-08,-4.430924160139782e-07,-4.416539573607345e-07
25.306001000001643,1.0151306414151533e-08,3.968515221035842e-08,-4.430645924975111e-07,-4.4164188807869153e-07
25.311001000001646,1.014329608287969e-08,3.96771424353972e-08,-4.4304482944127507e-07,-4.416270294166477e-07
25.316001000001645,1.0135285751607853e-08,3.966913266043599e-08,-4.430331517204459e-07,-4.416222909579446e-07
25.321001000001647,1.0127275420336009e-08,3.9661122885474776e-08,-4.4301205800380164e-07,-4.4161318587884074e-07
25.32600100000165,1.0119265089064166e-08,3.965311311051356e-08,-4.429949215658353e-07,-4.4159670468114074e-07
25.33100100000165,1.0111254757792327e-08,3.9645103335552345e-08,-4.4297925682479236e-07,-4.41584614045221e-07
25.33600100000165,1.0103244426520485e-08,3.9637093560591127e-08,-4.4295511219118004e-07,-4.415586238437207e-07
25.341001000001654,1.0095234095248642e-08,3.9629083785629915e-08,-4.4294071419175864e-07,-4.4153393375146485e-07
