% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 13 2026, 23:25
% Table:              プローブテーブル 1 - 
% 時間 (ms)                                         温度 (K), 吸収体                                       温度 (K), StyCast                                   温度 (K), TES                                       アンペアメーターを通る電流 # (µA)                              TES R(T) (mΩ), TES R
27.740000000000002                                0.1690656038310574                                0.16888728243305817                               0.1687070635390165                                138.80422040226654                                16.189427608568835
27.75                                             0.1690651951338792                                0.16888702531461486                               0.16870695933199456                               138.8077940207843                                 16.188910431378627
27.76                                             0.16906478678411                                  0.1688867684145589                                0.16870685521320458                               138.81136465211168                                16.188393713093017
27.770000000000003                                0.1690643787814529                                0.1688865117326987                                0.16870675118257256                               138.81493229870645                                16.18787745328773
27.78                                             0.16906397112560778                               0.1688862552688553                                0.16870664724002382                               138.81849696302336                                16.187361651538357
27.790000000000003                                0.16906356381628018                               0.16888599902284065                               0.16870654338548388                               138.82205864751688                                16.186846307421902
27.8                                              0.1690631568531808                                0.16888574299447007                               0.16870643961887963                               138.82561735463887                                16.18633142051473
27.810000000000002                                0.16906275023601272                               0.16888548718356022                               0.1687063359401355                                138.82917308684014                                16.18581699039479
27.82                                             0.16906234396447956                               0.1688852315899225                                0.1687062323491776                                138.83272584656783                                16.18530301663934
27.830000000000002                                0.16906193803828196                               0.1688849762133758                                0.16870612884593159                               138.83627563626743                                16.184789498826177
27.840000000000003                                0.16906153245714198                               0.16888472105373176                               0.1687060254303226                                138.8398224583836                                 16.184276436534144
27.85                                             0.16906112722074945                               0.16888446611081162                               0.16870592210227747                               138.84336631535942                                16.18376382934268
27.86                                             0.16906072232881778                               0.16888421138442472                               0.16870581886172206                               138.84690720963374                                16.18325167683062
27.87                                             0.16906031778105685                               0.16888395687439292                               0.16870571570858273                               138.85044514364404                                16.182739978577562
27.880000000000003                                0.169059913577165                                 0.16888370258053012                               0.16870561264278522                               138.85398011982787                                16.182228734164052
27.89                                             0.16905950971685246                               0.16888344850264986                               0.16870550966425538                               138.85751214061975                                16.18171794317061
27.900000000000002                                0.16905910619983644                               0.16888319464057272                               0.16870540677291965                               138.86104120845292                                16.181207605178905
27.910000000000004                                0.16905870302582052                               0.16888294099411183                               0.16870530396870415                               138.8645673257558                                 16.180697719769316
27.92                                             0.16905830019449916                               0.16888268756308622                               0.16870520125153715                               138.86809049495778                                16.18018828652426
27.93                                             0.1690578977055964                                0.16888243434731107                               0.1687050986213422                                138.87161071848598                                16.17967930502627
27.94                                             0.16905749555881827                               0.16888218134660624                               0.16870499607804662                               138.87512799876362                                16.179170774857496
27.950000000000003                                0.1690570937538698                                0.16888192856078543                               0.16870489362157823                               138.87864233821483                                16.17866269560146
27.96                                             0.16905669229046064                               0.16888167598966822                               0.16870479125186366                               138.8821537392601                                 16.178155066841402
27.970000000000002                                0.16905629116829796                               0.16888142363307238                               0.1687046889688264                                138.88566220432006                                16.17764788816203
27.98                                             0.16905589038709512                               0.16888117149081353                               0.16870458677239755                               138.8891677358088                                 16.17714115914691
27.990000000000002                                0.1690554899465594                                0.16888091956271034                               0.1687044846625005                                138.89267033614132                                16.176634879380554
28                                                0.16905508984640455                               0.1688806678485839                                0.16870438263906437                               138.89617000773222                                16.176129048448747
28.01                                             0.1690546900863376                                0.168880416348246                                 0.16870428070201457                               138.89966675299354                                16.175623665937405
28.020000000000003                                0.16905429066606603                               0.16888016506152168                               0.16870417885127859                               138.90316057433282                                16.175118731431922
28.03                                             0.16905389158530962                               0.16887991398822433                               0.1687040770867841                                138.90665147415731                                16.17461424451858
28.040000000000003                                0.16905349284377333                               0.1688796631281737                                0.16870397540845683                               138.91013945487396                                16.17411020478497
28.05                                             0.16905309444116776                               0.168879412481191                                 0.16870387381622579                               138.91362451888463                                16.173606611817686
28.060000000000002                                0.16905269637721465                               0.16887916204709288                               0.16870377231001735                               138.91710666859143                                16.173103465204147
28.07                                             0.16905229865160717                               0.1688789118256992                                0.16870367088975746                               138.92058590639567                                16.1726007645332
28.080000000000002                                0.16905190126406944                               0.16887866181682784                               0.16870356955537505                               138.92406223469447                                16.172098509393322
28.090000000000003                                0.16905150421430715                               0.1688784120203013                                0.16870346830679792                               138.9275356558821                                 16.171596699372614
28.1                                              0.16905110750204425                               0.16887816243593473                               0.16870336714395248                               138.93100617235288                                16.17109533406043
28.11                                             0.16905071112699147                               0.16887791306355154                               0.16870326606676608                               138.9344737864999                                 16.170594413047166
28.12                                             0.169050315088843                                 0.16887766390297038                               0.16870316507516672                               138.93793850071225                                16.170093935922587
28.130000000000003                                0.16904991938733951                               0.16887741495400999                               0.16870306416908257                               138.9414003173784                                 16.169593902276503
28.14                                             0.1690495240221727                                0.16887716621649237                               0.16870296334844037                               138.94485923888698                                16.169094311701368
28.150000000000002                                0.16904912899306476                               0.16887691769023477                               0.16870286261316866                               138.94831526762005                                16.168595163787113
28.160000000000004                                0.1690487342997368                                0.16887666937506213                               0.1687027619631958                                138.95176840596068                                16.168096458125895
28.17                                             0.1690483399418848                                0.16887642127079203                               0.16870266139844747                               138.95521865628896                                16.167598194309395
28.18                                             0.16904794591923603                               0.16887617337724492                               0.16870256091885374                               138.9586660209855                                 16.167100371931415
28.19                                             0.16904755223150714                               0.1688759256942447                                0.16870246052434207                               138.9621105024241                                 16.166602990583485
28.200000000000003                                0.16904715887841476                               0.16887567822160843                               0.16870236021484006                               138.9655521029813                                 16.166106049859604
28.21                                             0.1690467658596573                                0.16887543095915988                               0.16870225999027752                               138.9689908250301                                 16.1656095493533
28.220000000000002                                0.16904637317496715                               0.16887518390672007                               0.16870215985057957                               138.97242667094227                                16.16511348865908
28.23                                             0.16904598082405395                               0.16887493706411114                               0.16870205979567748                               138.97585964308695                                16.164617867371003
28.240000000000002                                0.16904558880662995                               0.16887469043115352                               0.16870195982549752                               138.97928974383197                                16.164122685084376
28.25                                             0.1690451971224225                                0.16887444400766774                               0.16870185993996936                               138.98271697554202                                16.163627941394278
28.26                                             0.1690448057711447                                0.16887419779347929                               0.16870176013902075                               138.98614134057996                                16.163133635896635
28.270000000000003                                0.16904441475249354                               0.16887395178840695                               0.1687016604225813                                138.98956284130713                                16.16263976818698
28.28                                             0.16904402406621                                  0.16887370599227547                               0.16870156079057821                               138.9929814800854                                 16.162146337862907
28.290000000000003                                0.16904363371200357                               0.1688734604049051                                0.1687014612429406                                138.99639725927133                                16.161653344520687
28.3                                              0.16904324368959192                               0.16887321502612018                               0.16870136177959694                               138.99981018122193                                16.16116078775756
28.310000000000002                                0.1690428539986853                                0.1688729698557429                                0.1687012624004758                                139.00322024829202                                16.160668667171908
28.32                                             0.16904246463901798                               0.16887272489359462                               0.16870116310550753                               139.00662746283237                                16.160176982361126
