% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 9 2026, 15:39
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
24.64                    0.16923934304924187      0.16875133183381402      137.2896265995555
24.650000000000002       0.16923878663264189      0.16875119015529075      137.29446271289314
24.660000000000004       0.16923823068923693      0.1687510485966627       137.299294806408
24.67                    0.16923767521862387      0.16875090715782903      137.30412288336998
24.68                    0.1692371202204001       0.168750765838688        137.30894694704497
24.69                    0.16923656569416337      0.16875062463913834      137.31376700069686
24.700000000000003       0.16923601163951146      0.1687504835590802       137.31858304758597
24.710000000000004       0.16923545805604218      0.16875034259841123      137.32339509097073
24.720000000000002       0.169234904943354        0.16875020175703107      137.32820313410588
24.73                    0.16923435230104758      0.16875006103483922      137.33300718024518
24.740000000000002       0.1692338001287196       0.16874992043173428      137.33780723264005
24.75                    0.16923324842597354      0.16874977994761695      137.3426032945386
24.76                    0.16923269719240525      0.16874963958238495      137.34739536918704
24.770000000000003       0.1692321464276166       0.16874949933593905      137.35218345982872
24.78                    0.16923159613120922      0.16874935920817874      137.35696756970293
24.790000000000003       0.16923104630278415      0.16874921919900382      137.36174770204963
24.800000000000004       0.16923049694193998      0.16874907930831348      137.36652386010246
24.810000000000002       0.1692299480482815       0.1687489395360087       137.37129604709446
24.82                    0.16922939962141045      0.16874879988198846      137.37606426625746
24.830000000000002       0.16922885166092735      0.16874866034615257      137.3808285208207
24.840000000000003       0.16922830416643567      0.16874852092840228      137.38558881400897
24.85                    0.1692277571375394       0.16874838162863737      137.39034514904608
24.86                    0.16922721057384155      0.16874824244675854      137.39509752915123
24.870000000000005       0.16922666447494458      0.1687481033826656       137.3998459575416
24.880000000000003       0.1692261188404551       0.16874796443625883      137.40459043743505
24.890000000000004       0.16922557366997412      0.16874782560743967      137.40933097204447
24.900000000000002       0.1692250289631093       0.16874768689610806      137.41406756457957
24.910000000000004       0.16922448471946255      0.16874754830216565      137.41880021824815
24.92                    0.16922394093864512      0.16874740982551187      137.42352893625704
24.93                    0.1692233976202562       0.16874727146604832      137.42825372180982
24.94                    0.16922285476390664      0.16874713322367668      137.43297457810715
24.950000000000003       0.1692223123691994       0.1687469950982968       137.4376915083467
24.960000000000004       0.16922177043574319      0.1687468570898107       137.4424045157239
